"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"Vogelbach, Daniel","596129","2023","319",25.4,".324",31.4,9.3,"95.217899227"
"Sánchez, Gary","596142","2023","267",25.1,".343",27.4,15.4,"95.143946857"
"Kepler, Max","596146","2023","491",21.6,".362",35.7,12.2,"95.65094244"
"Candelario, Jeimer","600869","2023","576",22,".318",36.9,7.9,"93.708029184"
"Urías, Ramón","602104","2023","396",25.5,".281",30.4,6.9,"93.685443346"
"Anderson, Brian","605119","2023","361",29.9,".316",34.3,10.3,"93.945080472"
"Bell, Josh","605137","2023","617",21.7,".345",31.3,10.1,"94.955559951"
"Betts, Mookie","605141","2023","693",15.4,".407",42.5,12.4,"95.28290971"
"Davis, J.D.","605204","2023","546",27.8,".323",33.5,9.6,"95.258851108"
"Castro, Harold","605612","2023","270",24.4,".263",38.5,3.1,"92.139749948"
"Arcia, Orlando","606115","2023","533",19.1,".307",30.6,6.9,"93.735384508"
"Hernández, Teoscar","606192","2023","678",31.1,".336",35.2,13.8,"96.109592578"
"Marte, Ketel","606466","2023","650",16.8,".342",30.8,8,"95.10445528"
"Haase, Eric","606992","2023","293",27.6,".253",29.2,4.6,"93.341904124"
"Nimmo, Brandon","607043","2023","682",21.4,".352",33.5,9.5,"95.462726837"
"Peterson, Jace","607054","2023","430",23.5,".287",33.5,4.7,"92.272958155"
"Turner, Trea","607208","2023","691",21.7,".330",36.1,8.4,"94.550003245"
"Stallings, Jacob","607732","2023","276",24.3,".262",28.5,5.6,"93.710206784"
"Ramírez, José","608070","2023","691",10.6,".359",36.8,7,"94.35370079"
"Bregman, Alex","608324","2023","724",12,".351",35.8,5.4,"93.248960689"
"Gallo, Joey","608336","2023","332",42.8,".295",28.6,19.3,"97.127446835"
"Seager, Corey","608369","2023","536",16.4,".412",38,15.2,"96.785948962"
"Jankowski, Travis","608671","2023","287",14.6,".302",28.8,0,"91.716382549"
"Meneses, Joey","608841","2023","657",19.8,".288",32.9,5.4,"94.237468244"
"Swanson, Dansby","621020","2023","638",24.1,".345",35.1,10.9,"94.10753236"
"Newman, Kevin","621028","2023","253",13.4,".311",35.4,2.5,"92.359183077"
"Taylor, Chris","621035","2023","384",32.6,".312",38.8,9.8,"93.52875061"
"Correa, Carlos","621043","2023","580",22.6,".330",31.1,9.6,"95.635527984"
"Buxton, Byron","621439","2023","347",31.4,".316",33.2,14.6,"95.782166382"
"Ward, Taylor","621493","2023","409",19.6,".338",34,8.2,"94.588852374"
"Wisdom, Patrick","621550","2023","302",36.8,".339",33.3,20.1,"96.664593567"
"Wendle, Joey","621563","2023","318",21.1,".263",31.8,3.4,"93.354777576"
"Olson, Matt","621566","2023","720",23.2,".392",31,16.4,"97.314084392"
"Margot, Manuel","622534","2023","336",16.4,".301",28.6,3.9,"93.924441765"
"Mateo, Jorge","622761","2023","350",23.4,".289",28.3,5.3,"94.295455274"
"Ramírez, Harold","623912","2023","434",18.2,".319",29.4,4.6,"94.469777121"
"Santander, Anthony","623993","2023","656",23.2,".319",33,10.2,"95.319994041"
